                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.75716,                0.62519,                  1.069,                0.73626,                 0.5897,                0.68388,                0.48856,                 1.0893,                 1.0438,                 1.3092,               0.000505,               0.000505,               0.000505
                     52,                0.74693,                0.61101,                 1.0709,                0.68332,                0.58778,                0.65715,                0.46855,                 1.1112,                 1.1109,                 1.3348,              0.0004951,              0.0004951,              0.0004951
                     53,                0.75387,                0.62577,                  1.072,                0.73478,                0.60239,                0.69877,                0.50453,                 1.0991,                 1.0202,                 1.3259,              0.0004852,              0.0004852,              0.0004852
                     54,                0.74614,                0.60914,                  1.075,                0.61356,                0.62919,                0.65682,                0.46733,                 1.1462,                 1.1041,                 1.3551,              0.0004753,              0.0004753,              0.0004753
                     55,                0.73794,                0.60094,                 1.0616,                0.70708,                0.58734,                0.68462,                 0.4992,                 1.1044,                 1.1178,                  1.334,              0.0004654,              0.0004654,              0.0004654
                     56,                0.73611,                0.59469,                 1.0584,                0.67344,                0.60613,                0.66476,                0.48036,                 1.1015,                 1.1523,                 1.3391,              0.0004555,              0.0004555,              0.0004555
                     57,                0.72847,                0.59994,                 1.0587,                 0.7709,                 0.5668,                0.67104,                0.48606,                  1.099,                 1.1249,                 1.3276,              0.0004456,              0.0004456,              0.0004456
                     58,                0.71427,                0.58355,                 1.0503,                0.74788,                0.58663,                0.67706,                0.48639,                 1.1126,                 1.0901,                 1.3571,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.7185,                0.57398,                  1.048,                0.70296,                0.60275,                0.66683,                0.48331,                 1.0926,                 1.1285,                 1.3325,              0.0004258,              0.0004258,              0.0004258
                     60,                0.70627,                0.57084,                 1.0445,                0.80836,                0.57398,                 0.6757,                0.49055,                 1.1178,                 1.1562,                 1.3289,              0.0004159,              0.0004159,              0.0004159
                     61,                0.69296,                0.55839,                 1.0425,                0.74577,                0.57868,                 0.6735,                0.48966,                 1.0939,                 1.1323,                 1.3338,               0.000406,               0.000406,               0.000406
                     62,                 0.6948,                0.55541,                 1.0455,                0.70583,                0.61283,                0.68792,                0.50086,                 1.0968,                 1.0588,                 1.3505,              0.0003961,              0.0003961,              0.0003961
                     63,                0.67304,                0.55612,                 1.0304,                0.65021,                0.64318,                0.68424,                0.49661,                 1.0743,                 1.0454,                 1.3223,              0.0003862,              0.0003862,              0.0003862
                     64,                0.68463,                0.53854,                 1.0339,                0.77153,                0.60067,                0.69782,                0.50544,                 1.1041,                 1.0663,                 1.3304,              0.0003763,              0.0003763,              0.0003763
                     65,                0.67484,                0.52618,                 1.0211,                0.79648,                0.58334,                0.68253,                0.50029,                 1.0809,                 1.1218,                 1.3184,              0.0003664,              0.0003664,              0.0003664
                     66,                0.66715,                 0.5197,                 1.0218,                0.79628,                0.60345,                0.70835,                0.50289,                 1.1017,                 1.0387,                 1.3365,              0.0003565,              0.0003565,              0.0003565
                     67,                0.66132,                0.53005,                 1.0223,                0.64856,                0.62917,                0.68757,                0.49533,                 1.0942,                 1.0172,                 1.3311,              0.0003466,              0.0003466,              0.0003466
                     68,                0.64978,                0.51865,                 1.0185,                0.68445,                0.65402,                 0.6824,                0.48659,                 1.1105,                 1.0763,                 1.3471,              0.0003367,              0.0003367,              0.0003367
                     69,                0.64878,                0.51237,                 1.0176,                0.73973,                 0.5999,                0.66414,                0.47998,                 1.0956,                 1.0668,                 1.3401,              0.0003268,              0.0003268,              0.0003268
                     70,                0.62793,                0.49001,                 1.0091,                0.72973,                0.58551,                0.67161,                0.48047,                 1.1002,                 1.0677,                 1.3429,              0.0003169,              0.0003169,              0.0003169
                     71,                0.64264,                0.50857,                 1.0208,                0.71596,                 0.6195,                0.68663,                0.49201,                  1.108,                 1.0726,                 1.3516,               0.000307,               0.000307,               0.000307
                     72,                0.62728,                0.49608,                 1.0162,                0.77676,                0.61066,                0.69992,                0.50914,                  1.097,                 1.0878,                 1.3344,              0.0002971,              0.0002971,              0.0002971
                     73,                0.62205,                0.48851,                 0.9996,                0.76129,                0.59347,                0.67766,                0.49746,                 1.0921,                 1.0783,                 1.3465,              0.0002872,              0.0002872,              0.0002872
                     74,                0.61027,                0.47619,                 1.0015,                 0.7615,                 0.5966,                0.68358,                0.49677,                  1.097,                 1.0579,                 1.3368,              0.0002773,              0.0002773,              0.0002773
                     75,                0.62368,                0.47911,                 1.0055,                0.67901,                0.66689,                0.70533,                0.50651,                 1.1029,                 1.0511,                 1.3451,              0.0002674,              0.0002674,              0.0002674
                     76,                0.59682,                0.45763,                0.98774,                0.76847,                0.63168,                0.71004,                0.51852,                 1.0971,                 1.0066,                 1.3383,              0.0002575,              0.0002575,              0.0002575
                     77,                0.60677,                0.47073,                 0.9902,                0.79144,                0.63104,                0.71221,                0.52534,                 1.0825,                 1.0127,                 1.3057,              0.0002476,              0.0002476,              0.0002476
                     78,                0.59927,                 0.4584,                0.99292,                0.81124,                0.58427,                0.71294,                0.52501,                 1.0752,                 1.0329,                 1.3075,              0.0002377,              0.0002377,              0.0002377
                     79,                0.60042,                0.46046,                0.99423,                0.70257,                0.66039,                0.71295,                0.52755,                 1.0716,                  1.028,                 1.3154,              0.0002278,              0.0002278,              0.0002278
                     80,                0.59453,                0.44975,                0.99342,                0.71026,                0.62395,                0.69906,                0.51528,                 1.0941,                 1.1369,                 1.3303,              0.0002179,              0.0002179,              0.0002179
                     81,                0.57913,                0.45168,                  0.981,                0.69794,                 0.6185,                0.68899,                0.50678,                 1.0917,                 1.1123,                 1.3349,               0.000208,               0.000208,               0.000208
                     82,                0.56505,                0.44429,                0.98177,                0.72802,                 0.6215,                0.70543,                0.51719,                 1.0916,                  1.056,                 1.3409,              0.0001981,              0.0001981,              0.0001981
                     83,                0.56955,                0.43379,                0.98382,                 0.7899,                0.58363,                0.69064,                0.49982,                  1.124,                 1.1044,                 1.3449,              0.0001882,              0.0001882,              0.0001882
                     84,                0.56588,                0.43164,                0.97885,                0.68837,                0.66147,                0.68321,                0.49574,                 1.1172,                 1.1168,                 1.3419,              0.0001783,              0.0001783,              0.0001783
                     85,                0.55671,                0.42497,                0.97315,                0.69687,                0.67405,                0.69495,                0.51033,                 1.1169,                 1.1225,                 1.3579,              0.0001684,              0.0001684,              0.0001684
                     86,                0.54413,                0.41136,                0.97167,                0.77525,                0.61361,                0.71444,                0.53254,                 1.0805,                 1.0507,                 1.3401,              0.0001585,              0.0001585,              0.0001585
                     87,                0.55139,                0.43084,                0.97447,                0.75131,                0.60631,                0.69433,                0.51508,                   1.08,                 1.0908,                  1.342,              0.0001486,              0.0001486,              0.0001486
                     88,                0.54497,                0.41712,                0.96783,                0.67261,                0.63326,                0.68754,                0.50625,                  1.092,                 1.0758,                 1.3419,              0.0001387,              0.0001387,              0.0001387
                     89,                0.54303,                0.41635,                0.97254,                0.69502,                0.65827,                0.68888,                0.50615,                 1.1077,                 1.0896,                  1.349,              0.0001288,              0.0001288,              0.0001288
                     90,                0.54072,                0.41001,                0.96421,                0.68704,                0.62641,                0.69156,                0.50983,                 1.1004,                 1.1014,                 1.3482,              0.0001189,              0.0001189,              0.0001189
                     91,                 0.4532,                0.29435,                0.89568,                0.73733,                0.56448,                0.66856,                0.49236,                 1.1053,                 1.1094,                 1.3621,               0.000109,               0.000109,               0.000109
                     92,                0.43057,                 0.2608,                0.88932,                0.67026,                  0.645,                0.68446,                0.49879,                 1.1207,                 1.0586,                 1.3853,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.41413,                0.25349,                 0.8816,                0.75462,                0.61523,                0.70054,                0.51558,                 1.0984,                 1.0964,                 1.3693,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.39979,                0.25192,                 0.8736,                0.74946,                0.63048,                0.69185,                0.51518,                 1.0821,                 1.0926,                 1.3438,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.40051,                0.24325,                0.87408,                0.73375,                0.65217,                0.69016,                0.51442,                 1.0835,                 1.1081,                 1.3429,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.38805,                0.23582,                0.86397,                0.73137,                0.62149,                0.68645,                0.50607,                  1.089,                 1.0799,                 1.3467,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.38908,                 0.2377,                0.85597,                0.73545,                0.65237,                0.69723,                0.51557,                  1.083,                 1.0568,                 1.3466,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.38037,                0.22959,                0.85925,                 0.7265,                0.64476,                0.69926,                0.51651,                 1.0788,                 1.0648,                 1.3431,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 0.3786,                0.23528,                0.86523,                0.67827,                 0.6614,                0.70146,                0.52044,                 1.0788,                  1.056,                 1.3485,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.37185,                0.22858,                0.86174,                0.69067,                0.67961,                0.70104,                0.52373,                 1.0809,                 1.0657,                 1.3504,               1.99e-05,               1.99e-05,               1.99e-05
